	verb	transitive	Table-base	unvocalized	unmarked	normalized	stamp	length	salim	weak	url
0	أَبَأَ	م	61	أبأ	أبأ	ءبء	ب	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبأ
1	أَبَّ	ل/م	58	أب	أبّ	ءب	ب	3	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبّ
2	تَأَبَّبَ	ل	126	تأبب	تأبّب	تءبب	تب	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأبّب
3	اِئْتَبَّ	ل	115	ائتب	ائتبّ	اءتب	تب	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/ائتبّ
4	اِسْتَأَبَّ	م	130	استأب	استأبّ	استءب	ستب	6	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/استأبّ
5	أَبِتَ	ل	56	أبت	أبت	ءبت	بت	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبت
6	أَبَدَ	ل	53	أبد	أبد	ءبد	بد	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبد
7	أَبِدَ	ل	56	أبد	أبد	ءبد	بد	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبد
8	أَبَّدَ	م	112	أبد	أبّد	ءبد	بد	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبّد
9	تَأَبَّدَ	ل	126	تأبد	تأبّد	تءبد	تبد	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأبّد
10	أبَرَ	م/ل	53	أبر	أبر	ءبر	بر	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبر
11	أَبِرَ	ل	56	أبر	أبر	ءبر	بر	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبر
12	أَبَّرَ	م	112	أبر	أبّر	ءبر	بر	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبّر
13	تَأَبَّرَ	ل	126	تأبر	تأبّر	تءبر	تبر	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأبّر
14	اِئْتَبَرَ	م	114	ائتبر	ائتبر	اءتبر	تبر	5	مهموز	صحيح	http://qutrub.arabeyes.org/verb/ائتبر
15	أَبَزَ	ل	154	أبز	أبز	ءبز	بز	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبز
16	أَبَسَ	م	54	أبس	أبس	ءبس	بس	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبس
17	أَبَّسَ	م	112	أبس	أبّس	ءبس	بس	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبّس
18	أَبَشَ	ل/م	54	أبش	أبش	ءبش	بش	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبش
19	أَبَّشَ	م	112	أبش	أبّش	ءبش	بش	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبّش
20	تَأَبَّشَ	ل	126	تأبش	تأبّش	تءبش	تبش	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأبّش
21	أَبَصَ	ل	54	أبص	أبص	ءبص	بص	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبص
22	أَبِصَ	ل	56	أبص	أبص	ءبص	بص	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبص
23	أَبَضَ	ل/م	54	أبض	أبض	ءبض	بض	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبض
24	أَبِضَ	ل	56	أبض	أبض	ءبض	بض	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبض
25	تأَبَّضَ	ل/م	126	تأبض	تأبّض	تءبض	تبض	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأبّض
26	تَأَبَّطَ	م	126	تأبط	تأبّط	تءبط	تبط	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأبّط
27	أَبَقَ	ل	54	أبق	أبق	ءبق	بق	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبق
28	أَبِقَ	ل	56	أبق	أبق	ءبق	بق	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبق
29	تَأَبَّقَ	ل/م	126	تأبق	تأبّق	تءبق	تبق	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأبّق
30	أَبَلَ	ل/م	53	أبل	أبل	ءبل	بل	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبل
31	أَبِلَ	ل	56	أبل	أبل	ءبل	بل	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبل
32	أَبُلَ	ل	57	أبل	أبل	ءبل	بل	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبل
33	أَبَّلَ	ل/م	112	أبل	أبّل	ءبل	بل	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبّل
34	آبَلَ	ل	106	آبل	آبل	ءابل	بل	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/آبل
35	تَأَبَّلَ	ل/م	126	تأبل	تأبّل	تءبل	تبل	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأبّل
36	اِئْتَبَلَ	ل	114	ائتبل	ائتبل	اءتبل	تبل	5	مهموز	صحيح	http://qutrub.arabeyes.org/verb/ائتبل
37	أَبَنَ	ل/م	53	أبن	أبن	ءبن	بن	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبن
38	أَبَّنَ	م	112	أبن	أبّن	ءبن	بن	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبّن
39	تَأَبَّنَ	م	126	تأبن	تأبّن	تءبن	تبن	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأبّن
40	أَبَهَ	ل/م	55	أبه	أبه	ءبه	به	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبه
41	أَبِهَ	ل	56	أبه	أبه	ءبه	به	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبه
42	أَبَّهَ	م	112	أبه	أبّه	ءبه	به	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبّه
43	تَأَبَّهَ	ل	126	تأبه	تأبّه	تءبه	تبه	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأبّه
44	أَبَا	ل/م	62	أبا	أبا	ءبا	ب	3	مهموز	ناقص واوي	http://qutrub.arabeyes.org/verb/أبا
45	أَبَّى	م	113	أبى	أبّى	ءبى	ب	4	مضعف مهموز	ناقص	http://qutrub.arabeyes.org/verb/أبّى
46	تَأَبَّى	م	127	تأبى	تأبّى	تءبى	تب	5	مضعف مهموز	ناقص	http://qutrub.arabeyes.org/verb/تأبّى
47	اِسْتَأْبَى	م	131	استأبى	استأبى	استءبى	ستب	6	مهموز	ناقص	http://qutrub.arabeyes.org/verb/استأبى
48	أَبَى	ل/م	66	أبى	أبى	ءبى	ب	3	مهموز	ناقص يائي	http://qutrub.arabeyes.org/verb/أبى
49	أَبِيَ	م/ل	67	أبي	أبي	ءبي	ب	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أبي
50	آبَى	م	106	آبى	آبى	ءابى	ب	4	مهموز	ناقص يائي	http://qutrub.arabeyes.org/verb/آبى
51	تَأَبَّى	ل	127	تأبى	تأبّى	تءبى	تب	5	مضعف مهموز	ناقص	http://qutrub.arabeyes.org/verb/تأبّى
52	أَتَّبَ	م	112	أتب	أتّب	ءتب	تب	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أتّب
53	تَأَتَّبَ	م	126	تأتب	تأتّب	تءتب	تتب	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأتّب
54	أَتَّ	م	58	أت	أتّ	ءت	ت	3	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أتّ
55	أَتَلَ	ل	54	أتل	أتل	ءتل	تل	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أتل
56	أَتَمَ	ل	54	أتم	أتم	ءتم	تم	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أتم
57	أَتِمَ	ل	56	أتم	أتم	ءتم	تم	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أتم
58	أَتَنَ	ل	53	أتن	أتن	ءتن	تن	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أتن
59	آتَنَ	ل	106	آتن	آتن	ءاتن	تن	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/آتن
60	اِسْتَأْتَنَ	ل	129	استأتن	استأتن	استءتن	ستتن	6	مهموز	صحيح	http://qutrub.arabeyes.org/verb/استأتن
61	أَتَى	م/ل	65	أتى	أتى	ءتى	ت	3	مهموز	ناقص يائي	http://qutrub.arabeyes.org/verb/أتى
62	أَتَّى	م	113	أتى	أتّى	ءتى	ت	4	مضعف مهموز	ناقص	http://qutrub.arabeyes.org/verb/أتّى
63	آتَى	م	106	آتى	آتى	ءاتى	ت	4	مهموز	ناقص يائي	http://qutrub.arabeyes.org/verb/آتى
64	تَأَتَّى	ل	127	تأتى	تأتّى	تءتى	تت	5	مضعف مهموز	ناقص	http://qutrub.arabeyes.org/verb/تأتّى
65	اِسْتَأْتَى	م	131	استأتى	استأتى	استءتى	ستت	6	مهموز	ناقص	http://qutrub.arabeyes.org/verb/استأتى
66	أَثَّ	ل	58	أث	أثّ	ءث	ث	3	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أثّ
67	أَثَّ	ل	60	أث	أثّ	ءث	ث	3	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أثّ
68	أَثَّثَ	م	112	أثث	أثّث	ءثث	ث	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أثّث
69	تَأَثَّثَ	ل	126	تأثث	تأثّث	تءثث	تث	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأثّث
70	أَثَرَ	م	53	أثر	أثر	ءثر	ثر	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أثر
71	أَثِرَ	ل/م	56	أثر	أثر	ءثر	ثر	3	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أثر
72	أَثَّرَ	ل	112	أثر	أثّر	ءثر	ثر	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أثّر
73	آثَرَ	م	106	آثر	آثر	ءاثر	ثر	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/آثر
74	تَأَثَّرَ	ل/م	126	تأثر	تأثّر	تءثر	تثر	5	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/تأثّر
75	اِئْتَثَرَ	م	114	ائتثر	ائتثر	اءتثر	تثر	5	مهموز	صحيح	http://qutrub.arabeyes.org/verb/ائتثر
