transitive	salim	Table-base
أَبَأَ	3	م
أَبَّ	3	ل/م
تَأَبَّبَ	5	ل
اِئْتَبَّ	5	ل
اِسْتَأَبَّ	6	م
أَبِتَ	3	ل
أَبَدَ	3	ل
أَبِدَ	3	ل
أَبَّدَ	4	م
تَأَبَّدَ	5	ل
أبَرَ	3	م/ل
أَبِرَ	3	ل
أَبَّرَ	4	م
تَأَبَّرَ	5	ل
اِئْتَبَرَ	5	م
أَبَزَ	3	ل
أَبَسَ	3	م
أَبَّسَ	4	م
أَبَشَ	3	ل/م
أَبَّشَ	4	م
تَأَبَّشَ	5	ل
أَبَصَ	3	ل
أَبِصَ	3	ل
أَبَضَ	3	ل/م
أَبِضَ	3	ل
تأَبَّضَ	5	ل/م
تَأَبَّطَ	5	م
أَبَقَ	3	ل
أَبِقَ	3	ل
تَأَبَّقَ	5	ل/م
أَبَلَ	3	ل/م
أَبِلَ	3	ل
أَبُلَ	3	ل
أَبَّلَ	4	ل/م
آبَلَ	4	ل
تَأَبَّلَ	5	ل/م
اِئْتَبَلَ	5	ل
أَبَنَ	3	ل/م
أَبَّنَ	4	م
تَأَبَّنَ	5	م
أَبَهَ	3	ل/م
أَبِهَ	3	ل
أَبَّهَ	4	م
تَأَبَّهَ	5	ل
أَبَا	3	ل/م
أَبَّى	4	م
تَأَبَّى	5	م
اِسْتَأْبَى	6	م
أَبَى	3	ل/م
أَبِيَ	3	م/ل
آبَى	4	م
تَأَبَّى	5	ل
أَتَّبَ	4	م
تَأَتَّبَ	5	م
أَتَّ	3	م
أَتَلَ	3	ل
أَتَمَ	3	ل
أَتِمَ	3	ل
أَتَنَ	3	ل
آتَنَ	4	ل
اِسْتَأْتَنَ	6	ل
أَتَى	3	م/ل
أَتَّى	4	م
آتَى	4	م
تَأَتَّى	5	ل
اِسْتَأْتَى	6	م
أَثَّ	3	ل
أَثَّ	3	ل
أَثَّثَ	4	م
تَأَثَّثَ	5	ل
أَثَرَ	3	م
أَثِرَ	3	ل/م
أَثَّرَ	4	ل
آثَرَ	4	م
تَأَثَّرَ	5	ل/م
اِئْتَثَرَ	5	م
اِسْتَأْثَرَ	6	ل/م
أَثَفَ	3	ل/م
أَثَّفَ	4	م
آثَفَ	4	م
تَأَثَّفَ	5	ل/م
أَثَلَ	3	ل
أَثُلَ	3	ل
أَثَّلَ	4	ل/م
تَأَثَّلَ	5	ل
أَثِمَ	3	ل
أَثَّمَ	4	م
آثَمَ	4	م
تَأَثَّمَ	5	ل
أَثا	3	ل
آثَى	4	م
تَآثَى	5	ل
أَجَّ	3	ل
أَجَّجَ	4	م
آجَجَ	4	م
تَأَجَّجَ	5	ل
اِئْتَجَّ	5	ل
أَجَدَ	3	م
أَجَّدَ	4	م
آجَدَ	4	م
أَجَرَ	3	ل/م
آجَرَ	4	م
آجَرَ	4	م
اِئْتَجَرَ	5	ل
اِسْتَأْجَرَ	6	م
اِسْتَأْجَزَ	6	ل
أَجَلَ	3	م
أَجِلَ	3	ل
أَجَّلَ	4	م
آجَلَ	4	م
تَأَجَّلَ	5	ل/م
اِسْتَأْجَلَ	6	م
أَجَمَ	3	ل/م
أَجِمَ	3	م
أَجَّمَ	4	م
آجَمَ	4	م
تَأَجَّمَ	5	ل
أَجَنَ	3	ل/م
أَجُنَ	3	ل
أَجِنَ	3	ل
أحَّ	3	ل
أَحَّى	4	ل
أَحَّدَ	4	م
اِسْتَأْحَدَ	6	ل
أَحِنَ	3	ل
آحَنَ	4	م
أَخَذَ	3	م/ل
أَخُذَ	3	ل
تَخِذَ	3	ل
أَخَّذَ	4	م
آخَذَ	4	م
آخَذَ	4	م
اِئْتَخَذَ	5	ل
اِتَّخَذَ	5	م
اِسْتَأْخَذَ	6	ل
أَخَّرَ	4	ل/م
تَأَخَّرَ	5	ل
اِسْتَأْخَرَ	6	ل
أَخا	3	م
أَخَّى	4	م/ل
آخَى	4	م/ل
تَأَخَّى	5	م
تَآخَى	5	ل
أَدَبَ	3	ل/م
أَدُبَ	3	ل
أَدَّبَ	4	م
آدَبَ	4	ل/م
تَأَدَّبَ	5	ل
أَدَّ	3	ل/م
تَأَدَّدَ	5	ل
أَدِرَ	3	ل
أَدَلَ	3	ل
أَدَمَ	3	ل/م
أَدُمَ	3	ل
أَدِمَ	3	ل
أَدَّمَ	4	م
آدَمَ	4	ل/م
اِئْتَدَمَ	5	ل
اِسْتَأْدَمَ	6	م
أَدا	3	ل/م
أَدَى	3	ل
أَدَّى	4	م
آدَى	4	ل/م
تَأَدَّى	5	ل
تَآدَى	5	ل
اِسْتَأْدَى	6	م
أَذَنَ	3	ل/م
أَذِنَ	3	ل
أَذَّنَ	4	ل/م
آذَنَ	4	ل/م
تَأَذَّنَ	5	ل
اِسْتَأْذَنَ	6	م/ل
أَذِيَ	3	ل
آذَى	4	م
تَأَذَّى	5	ل
أَرَبَ	3	م
أَرُبَ	3	ل
أَرِبَ	3	ل
أَرَّبَ	4	ل/م
آرَبَ	4	ل
آرَبَ	4	م
تَأَرَّبَ	5	ل
اِسْتَأْرَبَ	6	ل
أَرَّثَ	4	م/ل
تَأَرَّثَ	5	ل
أَرَجَ	3	ل/م
أَرِجَ	3	ل
أَرَّجَ	4	م/ل
تَأَرَّجَ	5	ل
أَرَخَ	3	ل
أَرَخَ	3	م
أَرَّخَ	4	م
أرَّ	3	ل
أرَّ	3	ل/م
أَرَزَ	3	ل
أَرَسَ	3	ل
أَرَّسَ	4	ل/م
آرَسَ	4	ل
أَرَشَ	3	ل/م
أَرَّشَ	4	ل/م
اِئْتَرَشَ	5	م
أَرَضَ	3	م
أَرُضَ	3	ل
أَرِضَ	3	ل
أَرَّضَ	4	م
تَأَرَّضَ	5	ل/م
اِسْتَأْرَضَ	6	ل
أَرَطَ	3	ل/م
أَرِطَ	3	ل
آرَطَ	4	ل
أَرَّفَ	4	م
آرَفَ	4	م
أَرِقَ	3	ل
أَرَّقَ	4	م
آرَقَ	4	م
تَأَرَّقَ	5	ل
اِئْتَرَقَ	5	ل
أَرَكَ	3	ل/م
أَرِكَ	3	ل
أَرَمَ	3	ل/م
أَرِمَ	3	ل
أَرَنَ	3	م
أَرِنَ	3	ل
آرَنَ	4	م
أرا	3	م
أَرَى	3	ل/م
أَرِيَ	3	ل
أَرَّى	4	م/ل
آرَى	4	م
تَأَرَّى	5	ل/م
اِئْتَرَى	5	ل
أَزَبَ	3	ل
أَزِبَ	3	ل
تَأَزَّبَ	5	م
أَزَجَ	3	ل
أَزِجَ	3	ل
أَزَّجَ	4	م
أَزَحَ	3	ل
تَأَزَّحَ	5	ل
أَزَرَ	3	ل/م
أَزِرَ	3	ل
أَزَّرَ	4	م
آزَرَ	4	ل/م
تَأَزَّرَ	5	ل
اِئْتَزَرَ	5	ل
اِتَّزَرَ	5	ل
أَزَّ	3	ل
أَزَّ	3	ل/م
تَأَزَّزَ	5	ل
اِئْتَزَّ	5	ل
أَزِفَ	3	ل
آزَفَ	4	م
تَآزَفَ	5	ل
أَزَقَ	3	ل/م
تَأَزَّقَ	5	ل
أَزَلَ	3	ل/م
آزَلَ	4	ل
تَأَزَّلَ	5	ل
أَزَمَ	3	ل/م
أَزِمَ	3	ل
تَأَزَّمَ	5	ل
أَزا	3	ل
أَزَى	3	ل
أَزِيَ	3	ل
أَزَّى	4	م
آزَى	4	ل
آزَى	4	ل
تَأَزَّى	5	ل
تَآزَى	5	ل
أَسِدَ	3	ل
أَسَّدَ	4	م
آسَدَ	4	م/ل
آسَدَ	4	ل
تَأَسَّدَ	5	ل
اِسْتَأْسَدَ	6	ل
