#verbs extracted from القاعدة الصرفية
# الحقل الثالث يمثل رقم جدول التصريف في القاعدة الصرفية
# الحقل الثاني: لازم، متعدي أو مشترك بينهما
verb	transitive	Table-base
أَبَأَ	م	61
أَبَّ	ل/م	58
تَأَبَّبَ	ل	126
اِئْتَبَّ	ل	115
اِسْتَأَبَّ	م	130
أَبِتَ	ل	56
أَبَدَ	ل	53
أَبِدَ	ل	56
أَبَّدَ	م	112
تَأَبَّدَ	ل	126
أبَرَ	م/ل	53
أَبِرَ	ل	56
أَبَّرَ	م	112
تَأَبَّرَ	ل	126
اِئْتَبَرَ	م	114
أَبَزَ	ل	154
أَبَسَ	م	54
أَبَّسَ	م	112
أَبَشَ	ل/م	54
أَبَّشَ	م	112
تَأَبَّشَ	ل	126
أَبَصَ	ل	54
أَبِصَ	ل	56
أَبَضَ	ل/م	54
أَبِضَ	ل	56
تأَبَّضَ	ل/م	126
تَأَبَّطَ	م	126
أَبَقَ	ل	54
أَبِقَ	ل	56
تَأَبَّقَ	ل/م	126
أَبَلَ	ل/م	53
أَبِلَ	ل	56
أَبُلَ	ل	57
أَبَّلَ	ل/م	112
آبَلَ	ل	106
تَأَبَّلَ	ل/م	126
اِئْتَبَلَ	ل	114
أَبَنَ	ل/م	53
أَبَّنَ	م	112
تَأَبَّنَ	م	126
أَبَهَ	ل/م	55
أَبِهَ	ل	56
أَبَّهَ	م	112
تَأَبَّهَ	ل	126
أَبَا	ل/م	62
أَبَّى	م	113
تَأَبَّى	م	127
اِسْتَأْبَى	م	131
أَبَى	ل/م	66
أَبِيَ	م/ل	67
آبَى	م	106
تَأَبَّى	ل	127
أَتَّبَ	م	112
تَأَتَّبَ	م	126
أَتَّ	م	58
أَتَلَ	ل	54
أَتَمَ	ل	54
أَتِمَ	ل	56
أَتَنَ	ل	53
آتَنَ	ل	106
اِسْتَأْتَنَ	ل	129
أَتَى	م/ل	65
أَتَّى	م	113
آتَى	م	106
تَأَتَّى	ل	127
اِسْتَأْتَى	م	131
أَثَّ	ل	58
أَثَّ	ل	60
أَثَّثَ	م	112
تَأَثَّثَ	ل	126
أَثَرَ	م	53
أَثِرَ	ل/م	56
أَثَّرَ	ل	112
آثَرَ	م	106
تَأَثَّرَ	ل/م	126
اِئْتَثَرَ	م	114
اِسْتَأْثَرَ	ل/م	129
أَثَفَ	ل/م	54
أَثَّفَ	م	112
آثَفَ	م	106
تَأَثَّفَ	ل/م	126
أَثَلَ	ل	54
أَثُلَ	ل	57
أَثَّلَ	ل/م	112
تَأَثَّلَ	ل	126
أَثِمَ	ل	56
أَثَّمَ	م	112
آثَمَ	م	106
تَأَثَّمَ	ل	126
أَثا	ل	62
آثَى	م	111
تَآثَى	ل	125
أَجَّ	ل	58
أَجَّجَ	م	112
آجَجَ	م	106
تَأَجَّجَ	ل	126
اِئْتَجَّ	ل	114
أَجَدَ	م	53
أَجَّدَ	م	112
آجَدَ	م	106
أَجَرَ	ل/م	53
آجَرَ	م	106
آجَرَ	م	109
اِئْتَجَرَ	ل	114
اِسْتَأْجَرَ	م	129
اِسْتَأْجَزَ	ل	129
أَجَلَ	م	53
أَجِلَ	ل	56
أَجَّلَ	م	112
آجَلَ	م	106
تَأَجَّلَ	ل/م	126
اِسْتَأْجَلَ	م	129
أَجَمَ	ل/م	54
أَجِمَ	م	56
أَجَّمَ	م	112
آجَمَ	م	106
تَأَجَّمَ	ل	126
أَجَنَ	ل/م	53
أَجُنَ	ل	57
أَجِنَ	ل	56
أحَّ	ل	58
أَحَّى	ل	113
أَحَّدَ	م	112
اِسْتَأْحَدَ	ل	129
أَحِنَ	ل	56
آحَنَ	م	109
أَخَذَ	م/ل	53
أَخُذَ	ل	57
تَخِذَ	ل	56
أَخَّذَ	م	112
آخَذَ	م	106
آخَذَ	م	109
اِئْتَخَذَ	ل	114
اِتَّخَذَ	م	118
اِسْتَأْخَذَ	ل	129
أَخَّرَ	ل/م	112
تَأَخَّرَ	ل	126
اِسْتَأْخَرَ	ل	129
أَخا	م	62
أَخَّى	م/ل	113
آخَى	م/ل	111
تَأَخَّى	م	127
تَآخَى	ل	125
أَدَبَ	ل/م	54
أَدُبَ	ل	57
أَدَّبَ	م	112
آدَبَ	ل/م	106
تَأَدَّبَ	ل	126
أَدَّ	ل/م	58
تَأَدَّدَ	ل	126
أَدِرَ	ل	56
أَدَلَ	ل	54
أَدَمَ	ل/م	54
أَدُمَ	ل	57
أَدِمَ	ل	56
أَدَّمَ	م	112
آدَمَ	ل/م	106
اِئْتَدَمَ	ل	114
اِسْتَأْدَمَ	م	129
أَدا	ل/م	62
أَدَى	ل	65
أَدَّى	م	113
آدَى	ل/م	106
تَأَدَّى	ل	127
تَآدَى	ل	125
اِسْتَأْدَى	م	131
أَذَنَ	ل/م	53
أَذِنَ	ل	56
أَذَّنَ	ل/م	112
آذَنَ	ل/م	106
تَأَذَّنَ	ل	126
اِسْتَأْذَنَ	م/ل	129
أَذِيَ	ل	67
آذَى	م	106
تَأَذَّى	ل	127
أَرَبَ	م	54
أَرُبَ	ل	57
أَرِبَ	ل	56
أَرَّبَ	ل/م	112
آرَبَ	ل	106
آرَبَ	م	109
تَأَرَّبَ	ل	126
اِسْتَأْرَبَ	ل	129
أَرَّثَ	م/ل	112
تَأَرَّثَ	ل	126
أَرَجَ	ل/م	54
أَرِجَ	ل	56
أَرَّجَ	م/ل	112
تَأَرَّجَ	ل	126
أَرَخَ	ل	55
أَرَخَ	م	53
أَرَّخَ	م	112
أرَّ	ل	59
أرَّ	ل/م	58
أَرَزَ	ل	54
أَرَسَ	ل	54
أَرَّسَ	ل/م	112
آرَسَ	ل	106
أَرَشَ	ل/م	53
أَرَّشَ	ل/م	112
اِئْتَرَشَ	م	114
أَرَضَ	م	53
أَرُضَ	ل	57
أَرِضَ	ل	56
أَرَّضَ	م	112
تَأَرَّضَ	ل/م	126
اِسْتَأْرَضَ	ل	129
أَرَطَ	ل/م	53
أَرِطَ	ل	56
آرَطَ	ل	106
أَرَّفَ	م	112
آرَفَ	م	109
أَرِقَ	ل	56
أَرَّقَ	م	112
آرَقَ	م	106
تَأَرَّقَ	ل	126
