ل,ب,ل
آتَى,آتَيْتُ، أُؤَاتِي، آتِ، ,ءَاتَى
آتَى,آتَيْتُ، أُؤْتِي، يُؤْتِي، آتِ، ,أءْتَى
آثرَ,آثرْتُ، أُؤْثِرُ، ,أءْثرَ
آثمَ,آثَمَ، يُؤْثِمُ، ,أءْثمَ
آجَرَ,آجَرْتُ، أُؤَاجِرُ، آجرْ، ,ءَاجَرَ
آخَى,آخَيْتُ، أُؤَاخِي، آخِ، ,ءَاخَى
آخَذَ,آخَذْتُ، أُؤَاخِذُ، آخِذْ، ,ءَاخَذَ
آدَبَ,آدَبْتُ، أُِؤَادِبُ، آدِبْ، ,ءَادَبَ
آذَى,آذَى، يُؤَاذِي، ,ءَاذَى
آذَنَ,آذَنَ، يُؤَاذِنُ، ,ءَاذَنَ
آرَقَ,آرَاقَ، يُؤَارِقُ، ,ءَارَقَ
آزَرَ,أزَرْتُ، أُؤَازِرُ، آزِرْ، ,ءَازَرَ
آزَفَ,آزَفْتُ، أُؤْزِفُ، آزِفْ، ,أءْزَفَ
آسَى,آسَيْتُ، أُؤَاسِي، آس، ,ءَاسَى
آفَ,آَفَ، يَؤُوفُ، ,ءَافَ
آكَدَ,آكَدْتُ، أُؤْكِدُ، آكِدْ، ,أءْكَدَ
آكَلَ,آكَلْتُ، أُؤْكِلُ، آكِلْ، ,أءْكَلَ
آكَلَ,آكَلَ، يُؤَاكِلُ، ,ءَاكَلَ
آل,أُلْتُ، أَؤُول، أُلْ، ,ءَال
آلَى,آلَى، يُؤَالِي، ,ءَالَى
آلَفَ,آلَفَ، يُؤَالِفُ، ,ءَالَفَ
آلَفَ,آلَفَ، يُؤَالِفُ، ,ءَالَفَ
آلَمَ,آلَمَ، يُؤْلِمُ، ,أءْلَمَ
آمَرَ,آمَرْتُ، أُؤَامِرُ، آمِرْ، ,ءَامَرَ
آمَنَ,آمَنْتُ، أُؤْمِنُ، آمِنْ، ,أءْمَنَ
آنَ,أُنْتُ، أَؤونُ، ,ءَانَ
آبَ,أُبْتُ، أَؤُوبُ، أُبْ، ,ءَابَ
آنَ,آنَ، يَئِينُ، ,ءَانَ
آنَثَ,آنَثَتْ، تُؤَانِثُ، ,ءَانَثَ
آنَسَ,آنَسْتُ، أُؤَانِسُ، آنِسْ، ,ءَانَسَ
آنَسَ,آنَسْتُ، أُؤْنِسُ، آنِسْ، ,أءْنَسَ
آنَضَ,آنَضَ، يُؤَنِضُ، ,أءْنَضَ
آنَفَ,آنَفْتُ، أُؤنِفُ، آنِفْ، ,أءْنَفَ
آنَقَ,آنَقْتُ، أُؤَانِقُ، ,ءَانَقَ
آوَى,آوَيْتُ، أُؤْوِي، آوِ، ,أءْوَى
