كَتَبَ	كتب	ضمة	متعدي
ضَرَبَ	ضرب	كسرة	متعدي
ذَكَرَ	ذكر	ضمة	متعدي
سَكَتَ	سكت	ضمة	لازم
سَكَنَ	سكن	ضمة	متعدي
عَلَّمَ	علم	-	متعدي
صَارَعَ	صرع	-	متعدي
أَكْرَمَ	كرم	-	متعدي
تَفَقَّدَ	فقد	-	متعدي
تَنَازَعَ	نزع	-	متعدي
اِدَّارَكَ	درك	-	متعدي
اِحْتَرَمَ	حرم	-	متعدي
اِسْتَخَفَّ	خفف	-	متعدي
اِنْحَتَّ	حتت	-	لازم
اِزْوَارَّ	زور	-	لازم
مَسَّ	مسس	فتحة	متعدي
شَدَّ	شدد	ضمة	متعدي
شَتَّ	شتت	ضمة	متعدي
ظَنَّ	ظنن	-	متعدي
شَادَّ	شدد	-	متعدي
أَضَرَّ	ضرر	-	متعدي
تَشَادَّ	شدد	-	متعدي
أَدَبَ	أدب	ضمة	لازم
أَخَذَ	أخذ	ضمة	متعدي	الثلاثي المجرد الصحيح المهموز الفاء
أَجَرَ	أجر	ضمة	متعدي	الثلاثي المجرد الصحيح المهموز الفاء
أخَّذَ	أخذ	-	متعدي	الثلاثي المزيد بحرف الصحيح المهموز الفاء
آجَرَ	أجر	-	متعدي	الثلاثي المزيد بحرف الصحيح المهموز الفاء
آنَسَ	أنس	-	متعدي	الثلاثي المزيد بحرف الصحيح المهموز الفاء
تَأَبَّطَ	أبط	-	متعدي	الثلاثي المزيد بحرفين الصحيح المهموز الفاء
تَآزَرَ	أزر	-	لازم	الثلاثي المزيد بحرفين الصحيح المهموز الفاء
اِسْتَأْجَرَ	أجر	-	متعدي	الثلاثي المزيد بثلاثة أحرف الصحيح المهموز الفاء
اِئْتَثَرَ	أثر	-	متعدي	الثلاثي المزيد بحرفين الصحيح المهموز الفاء
سَأَلَ	سءل	فتحة	متعدي	الثلاثي المجرد الصحيح المهموز العين
ثَأَرَ	ثءر	فتحة	متعدي	الثلاثي المجرد الصحيح المهموز العين
رَؤُفَ	رءف	ضمة	لازم	الثلاثي المجرد الصحيح المهموز العين
رَأَّسَ	رءس	-	متعدي	الثلاثي المزيد بحرف الصحيح المهموز العين
لاَءَمَ	لءم	-	متعدي	الثلاثي المزيد بحرف الصحيح المهموز العين
أَدْأَبَ	ءدب	-	متعدي	الثلاثي المزيد بحرف الصحيح المهموز العين
تَرَأَّمَ	رءم	-	متعدي	الثلاثي المزيد بحرفين الصحيح المهموز العين
تَذَاءَبَ	ذءب	-	متعدي	الثلاثي المزيد بحرفين الصحيح المهموز العين
اِسْتَرْأَفَ	رءف	-	متعدي	الثلاثي المزيد بثلاثة أحرف الصحيح المهموز العين
نَجَأَ	نجء	ضمة	متعدي	الثلاثي المجرد الصحيح المهموز اللام
جَرُؤَ	جرء	ضمة	لازم	الثلاثي المجرد الصحيح المهموز اللام
خَبَأَ	خبء	فتحة	لازم	الثلاثي المجرد الصحيح المهموز اللام
خَطِئَ	خطء	فتحة	متعدي	الثلاثي المجرد الصحيح المهموز اللام
بَرَّأَ	برء	-	متعدي	الثلاثي المزيد بحرف الصحيح المهموز اللام
قَارَأَ	قرء	-	متعدي	الثلاثي المزيد بحرف الصحيح
أَقْرَأَ	قرء	-	متعدي	الثلاثي المزيد بحرف الصحيح المهموز اللام
تَخَطَّأَ	خطء	-	متعدي	الثلاثي المزيد بحرفين الصحيح المهموز اللام
تَخَاطَأَ	خطء	-	متعدي	الثلاثي المزيد بحرفين الصحيح المهموز اللام
اِدَّارَأَ	درء	-	متعدي	الثلاثي المزيد بحرفين الصحيح المهموز اللام
اِجْتَشَأَ	جشء	-	متعدي	الثلاثي المزيد بحرفين الصحيح المهموز اللام
وَعَظَ	وعظ	كسرة	متعدي	الفعل المجرد المثال الواوي
وَلِعَ	ولع	فتحة	لازم	الفعل المجرد المثال الواوي	الأمر
اِيرَاقَّ	ورق	-	لازم	الثلاثي المزيد بثلاثة أحرف المثال الواوي
يَمُنَ	يمن	ضمة	لازم	الثلاثي المجرد المثال اليائي
أَيْقَظَ	يقظ	-	متعدي	الثلاثي المزيد بحرف المثال اليائي
فَاقَ	فوق	ضمة	متعدي	الثلاثي المجرد الأجوف الواوي
خَافَ	خوف	فتحة	متعدي	الثلاثي المجرد الأجوف الواوي
أَثَابَ	ثوب	كسرة	متعدي	الثلاثي المزيد بحرف الأجوف الواوي
اِنْصَاعَ	صوع	-	متعدي	الثلاثي المزيد بحرفين الأجوف الواوي
اِسْتَعَادَ	عود	-	متعدي	الثلاثي المزيد بثلاثة أحرف الأجوف الواوي
زَادَ	زود	كسرة	متعدي	الثلاثي المجرد الأجوف اليائي
دَعَا	دعو	ضمة	متعدي	الثلاثي المجرد الناقص الواوي
مَشَى	مشي	كسرة	لازم	الثلاثي المجرد الناقص اليائي
سَرُوَ	سرو	ضمة	متعدي	الثلاثي المجرد الناقص الواوي
نَمَّى	نمي	-	متعدي	الثلاثي المزيد بحرف الناقص الواوي
عَيَّا	عيي	-	متعدي	الثلاثي المزيد بحرف الناقص اليائي
دَاعَى	دعو	-	متعدي	الثلاثي المزيد بحرف الناقص الواوي
عَايَا	عيي	-	متعدي	الثلاثي المزيد بحرف الناقص الواوي
أَسْمَى	سمو	-	متعدي	الثلاثي المزيد بحرف الناقص الواوي
أَعْيَا	عيي	-	متعدي	الثلاثي المزيد بحرف الناقص اليائي
تَرَجَّى	رجة	-	متعدي	الثلاثي المزيد بحرفين الناقص الواوي
تَزَيّا	زيي	-	متعدي	الثلاثي المزيد بحرفين الناقص اليائي
تَصَابَى	صبي	-	متعدي	الثلاثي المزيد بحرفين الناقص الواوي
وَصَلَ	وصل	كسرة	متعدي	الفعل المجرد المثال الواوي
وَعَدَ	وعد	كسرة	متعدي	الفعل المجرد المثال الواوي
وَاعَدَ	وعد	كسرة	متعدي	الفعل المزيد بحرف المثال الواوي
وَاصَلََ	وصل	كسرة	متعدي	الفعل المزيد بحرف المثال الواوي
